Time(ms),IR1,IR2,IR3,IR4,IR5
3394,0,0,1,1,1
3460,0,0,0,1,1
3525,0,0,0,1,1
3591,0,0,0,1,1
3656,0,0,1,1,1
3722,0,0,1,1,1
3787,0,0,1,1,1
3856,0,0,1,1,1
3921,0,0,1,1,1
3987,0,0,1,1,1
4052,0,0,1,1,1
4118,0,0,1,1,1
4184,0,0,1,1,1
4249,0,0,1,1,1
4315,0,0,0,1,1
4380,0,0,0,1,1
4446,0,0,1,1,1
4511,0,0,1,1,1
4577,0,0,1,1,1
4642,1,0,0,1,1
4708,1,0,0,1,1
4774,1,0,0,1,1
4840,1,0,0,1,1
4905,1,0,0,1,1
4971,1,0,0,1,1
5037,0,0,1,1,1
5102,0,0,1,1,1
5168,1,0,0,1,1
5233,1,0,0,1,1
5299,1,0,0,1,1
5364,1,0,0,1,1
5430,1,0,0,1,1
5495,1,0,0,1,1
5561,1,0,0,1,1
5626,1,0,0,1,1
5692,1,0,0,1,1
5758,1,0,0,1,1
5824,1,0,0,1,1
5890,0,0,1,1,1
5957,0,0,1,1,1
6023,0,0,1,1,1
6088,0,0,1,1,1
6155,0,0,1,1,1
6220,0,0,1,1,1
6286,0,0,1,1,1
6351,0,0,0,1,1
6417,0,0,0,1,1
6482,0,0,0,1,1
6549,0,0,1,1,1
6615,0,0,1,1,1
6680,0,0,1,1,1
6746,0,0,1,1,1
6811,0,0,1,1,1
6877,0,0,0,1,1
6943,0,0,0,1,1
7009,0,0,0,1,1
7074,0,0,0,1,1
7140,0,0,1,1,1
7205,0,0,1,1,1
7271,0,0,1,1,1
7336,0,0,1,1,1
7403,0,0,1,1,1
7469,0,0,1,1,1
7534,0,0,1,1,1
7600,0,0,1,1,1
7665,0,0,1,1,1
7731,1,0,0,1,1
7797,1,0,0,1,1
7863,1,0,0,1,1
7928,1,0,0,1,1
7994,1,0,1,1,1
8062,0,0,1,1,1
8128,1,0,0,1,1
8194,1,0,0,1,1
8259,1,0,0,1,1
8325,1,0,0,1,1
8390,1,0,0,1,1
8456,1,0,0,1,1
8522,1,0,0,1,1
8588,0,0,1,1,1
8653,0,0,1,1,1
8719,1,0,0,1,1
8784,1,0,0,1,1
8850,1,0,0,1,1
8916,1,0,0,1,1
8982,1,0,0,1,1
9048,1,0,0,1,1
9113,1,0,0,1,1
9179,1,0,0,1,1
9244,1,0,0,1,1
9311,1,0,0,1,1
9376,1,0,0,1,1
9442,1,0,0,1,1
9507,1,0,0,1,1
9573,1,0,0,1,1
9638,1,0,0,1,1
9705,1,0,0,1,1
9771,1,0,0,1,1
9836,1,0,0,1,1
9902,1,0,0,1,1
9967,1,0,0,1,1
10034,1,0,0,1,1
10099,1,0,0,1,1
10167,1,0,0,1,1
10233,1,0,0,1,1
10299,1,0,0,1,1
10364,1,0,0,1,1
10430,1,0,0,1,1
10497,1,0,0,1,1
10562,1,0,0,1,1
10628,1,0,0,1,1
10694,1,0,0,1,1
10760,1,0,0,1,1
10825,1,0,0,1,1
10896,1,0,0,1,1
10962,1,0,0,1,1
11028,1,0,0,1,1
11094,1,0,0,1,1
11159,0,0,0,1,1
11226,0,0,1,1,1
11291,0,0,1,1,1
11357,0,0,1,1,1
11422,0,0,1,1,1
11489,0,0,1,1,1
11554,0,0,1,1,1
11620,0,0,0,1,1
11685,0,0,0,1,1
11752,0,0,1,1,1
11817,0,0,1,1,1
11883,0,0,1,1,1
11949,0,0,0,1,1
12015,0,0,0,1,1
12081,0,0,0,1,1
12148,0,0,1,1,1
12215,0,0,1,1,1
12280,0,0,1,1,1
12346,0,0,1,1,1
12411,0,0,1,1,1
12477,0,0,1,1,1
12544,0,0,1,1,1
12609,0,0,1,1,1
12675,0,0,1,1,1
12740,0,0,1,1,1
12807,0,0,1,1,1
12872,0,0,1,1,1
12938,0,0,0,1,1
13003,0,0,0,1,1
13070,0,0,0,1,1
13135,0,0,1,1,1
13201,0,0,1,1,1
13266,0,0,1,1,1
13333,0,0,1,1,1
13399,1,0,0,1,1
13464,1,0,0,1,1
13530,1,0,0,1,1
13596,1,0,0,1,1
13662,1,0,0,1,1
13727,0,0,1,1,1
13793,0,0,1,1,1
13858,1,0,1,1,1
13925,1,0,0,1,1
13990,1,0,0,1,1
14056,1,0,0,1,1
14121,1,0,0,1,1
14186,1,0,0,1,1
14252,1,0,0,1,1
14317,0,0,1,1,1
14383,0,0,1,1,1
14449,1,0,0,1,1
14515,1,0,0,1,1
14580,1,0,0,1,1
14646,1,0,0,1,1
14711,1,0,0,1,1
14778,1,0,0,1,1
14843,0,0,1,1,1
14909,0,0,1,1,1
14974,0,0,1,1,1
15041,0,0,1,1,1
15107,0,0,0,1,1
15172,0,0,0,1,1
15238,0,0,0,1,1
15304,0,0,1,1,1
15370,0,0,1,1,1
15435,0,0,1,1,1
15501,0,0,1,1,1
15567,0,0,1,1,1
15633,0,0,1,1,1
15698,0,0,0,1,1
15764,0,0,1,1,1
15831,0,0,1,1,1
15896,0,0,1,1,1
15962,0,0,1,1,1
16027,0,0,1,1,1
16093,0,0,1,1,1
16161,0,0,1,1,1
16227,0,0,0,1,1
16293,0,0,0,1,1
16359,0,0,1,1,1
16424,0,0,1,1,1
16490,0,0,1,1,1
16557,0,0,0,1,1
16622,0,0,0,1,1
16688,0,0,0,1,1
16753,0,0,1,1,1
16819,0,0,1,1,1
16885,0,0,1,1,1
16951,0,0,1,1,1
17016,1,0,0,1,1
17082,1,0,0,1,1
17148,1,0,0,1,1
17214,1,0,0,1,1
17280,1,0,0,1,1
17345,0,0,1,1,1
17412,1,0,0,1,1
17477,1,0,0,1,1
17543,1,0,0,1,1
17608,1,0,0,1,1
17675,1,0,0,1,1
17740,1,0,0,1,1
17806,1,0,0,1,1
17871,1,0,0,1,1
17937,1,0,0,1,1
18003,1,0,0,1,1
18069,1,0,0,1,1
18137,1,0,0,1,1
18203,1,0,0,1,1
18269,1,0,0,1,1
18334,1,0,0,1,1
18400,1,0,0,1,1
18465,1,0,0,1,1
18531,0,0,1,1,1
18596,0,0,1,1,1
18663,1,0,0,1,1
18728,1,0,0,1,1
18794,1,0,0,1,1
18860,1,0,0,1,1
18925,1,0,0,1,1
18991,1,0,0,1,1
19057,1,0,0,1,1
